Shark Number,Date,Time,Species,Picture Quality ,Sex,Pre Caudal Length,Fork Length,Total Length,Pre Pectoral Girth,Post Pectoral Girth,Post First Dorsal Girth,Gill Slit Height,Gill Slit Height / Total Length,Snout to First Gill Slit,Snout to Gill Slit / Total Length,Pectoral 1 SA,Pectoral 2 SA,Pectoral SA Avg,Pec SA / Total Length,Pectoral 1 Height,Pectoral 2 Height,Pectoral Height Avg,Pec Height / Total Length,Pectoral Aspect Ratio (h^2/SA),Caudal SA,Caudal SA / Total Length,Caudal Height,Caudal Height / Total Length,Caudal Aspect Ratio (h^2/SA),Notes,Image Analysis,Pixels/1cm,The angle of the snout ,,,
1,6/28/2022,10:47,Mako,bent head,M,154,160,168,63.2,66,56.2,14.272,0.092675325,36.076,0.214738095,284.056,284.056,284.056,1.690809524,28.649,28.649,28.649,0.170529762,0.017199099,412.066,2.45277381,41.8,0.248809524,0.025239253,"scarred, emaciated, no fight",tracing,,,,,
2,6/28/2022,12:27,Blue,"bent head, bent tail",M,175,208,224,82,87,75,6.538,0.03736,41.691,0.186120536,589.314,363.113,476.2135,2.125953125,47.494,33.619,40.5565,0.181055804,0.015419533,455.359,2.032852679,36.687,0.16378125,0.013195397,,tracing (edge find on),,,,,
3,7/12/2022,10:45,Smooth Dog,,F,62.23,66.04,76.2,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,#NAME?
4,7/12/2022,10:47,Smooth Dog,,M,45.72,48.26,57.15,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,-don't divide the fin surface area by the total length 
5,7/12/2022,10:48,Smooth Dog,,M,58.42,63.5,71.63,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
6,7/12/2022,12:52,Smooth Dog,,M,43.18,46.99,55.37,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
7,7/12/2022,12:53,Smooth Dog,,M,42.16,45.72,52.83,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
8,7/12/2022,12:53,Smooth Dog,,F,41.91,45.72,53.34,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
9,7/12/2022,12:58,Smooth Dog,,M,50.8,55.37,64.01,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
10,7/12/2022,13:00,Smooth Dog,,M,40.64,43.18,51.82,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
11,7/12/2022,13:01,Smooth Dog,,F,40.13,46.74,54.61,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
12,7/12/2022,13:05,Smooth Dog,,F,44.2,46.99,55.37,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
13,7/12/2022,13:07,Smooth Dog,,F,45.72,47.75,58.42,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
14,7/12/2022,13:08,Smooth Dog,,M,43.18,47.24,54.61,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
15,7/12/2022,13:09,Smooth Dog,,F,42.93,46.99,53.85,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
16,7/12/2022,13:10,Smooth Dog,,F,41.15,44.45,52.07,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
17,7/12/2022,13:12,Smooth Dog,,F,46.48,50.8,58.42,,,,,0,,0,,,0,0,,,0,0,#DIV/0!,,0,,0,#DIV/0!,,,,,,,
